Lat,Lon,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000
37.75,34.25,323.98,325.90,328.89,328.60,328.51,325.14,324.03,317.81,322.12,323.40,328.14,331.12,318.20,306.34,301.98,293.21,286.69,272.92,265.33,265.54,264.87
37.75,34.75,380.57,382.35,385.02,384.85,384.85,381.52,380.25,374.67,377.74,379.06,383.33,386.03,374.98,364.86,361.04,353.41,349.17,338.84,332.93,332.61,331.69
37.75,35.25,479.72,481.36,483.72,483.66,483.76,481.08,479.79,474.63,476.73,477.23,480.26,482.54,473.35,465.49,463.09,458.36,455.32,447.31,443.10,442.25,441.07
37.75,35.75,621.58,623.07,625.12,625.18,625.37,623.34,622.46,618.54,620.17,620.51,623.03,624.85,617.95,612.17,610.41,606.71,604.18,598.50,595.97,594.59,593.16
37.75,36.25,635.75,637.10,638.83,639.01,639.29,637.91,637.44,634.77,636.21,636.72,638.85,640.43,635.40,631.33,630.04,627.37,625.35,622.00,621.15,619.24,617.55
37.75,36.75,610.19,611.39,612.81,613.11,613.47,612.74,612.69,611.26,612.51,613.19,614.92,616.28,613.11,610.75,609.92,608.29,606.78,605.75,606.59,604.15,602.21
37.75,37.25,535.87,536.93,538.03,538.45,538.91,538.82,539.25,539.44,540.83,541.87,543.60,544.93,543.20,541.85,541.06,540.46,539.45,540.76,543.28,540.32,538.12
37.75,37.75,521.39,522.31,523.21,523.65,524.57,525.08,526.62,527.56,529.47,530.97,532.66,533.93,532.86,532.18,531.36,530.04,527.91,529.33,532.58,529.48,527.20
37.75,38.25,576.11,576.92,577.70,577.86,578.83,579.49,580.72,581.05,582.91,584.27,586.10,587.51,585.91,584.85,584.17,582.83,580.85,580.93,583.85,581.01,578.81
37.75,38.75,537.44,538.12,538.79,538.65,539.36,539.57,540.46,540.18,542.00,543.22,545.18,546.74,544.61,543.17,542.62,541.26,539.43,539.12,541.71,539.14,537.03
37.75,39.25,559.87,560.42,561.11,560.99,561.30,560.46,560.98,559.62,561.30,562.27,564.36,566.08,563.40,561.59,561.17,559.79,558.12,558.17,560.68,558.38,556.34
37.75,39.75,595.89,596.31,596.76,596.01,595.76,594.59,594.81,593.30,595.03,595.99,598.21,600.07,596.86,594.66,594.39,592.98,591.48,590.97,593.24,591.20,589.25
37.75,40.25,552.78,553.09,553.42,552.41,552.35,551.19,551.08,548.95,550.63,551.45,553.81,555.82,552.08,549.50,549.36,547.93,546.59,545.07,546.68,544.91,543.03
37.25,27.75,780.88,783.84,790.52,790.91,792.42,785.26,782.02,765.94,770.91,769.84,776.36,779.86,752.21,728.02,720.36,705.26,696.18,666.94,646.54,646.60,644.17
37.25,28.25,995.67,998.73,1005.07,1005.34,1006.48,999.43,995.95,980.50,984.68,983.34,989.22,992.42,966.49,943.99,937.02,923.23,915.12,888.69,870.80,871.23,869.44
37.25,28.75,886.40,889.58,895.57,895.73,896.49,889.54,885.82,871.01,874.40,872.79,878.04,880.93,856.73,835.90,829.63,817.16,810.01,786.39,771.01,771.82,770.65
37.25,29.25,645.59,648.88,654.53,654.57,654.95,648.11,644.14,629.97,632.58,630.69,635.30,637.89,615.42,596.27,590.70,579.54,573.36,552.54,539.67,540.86,540.32
37.25,29.75,537.06,540.46,545.77,545.69,545.70,538.97,534.76,521.22,523.04,520.88,524.86,527.14,506.40,488.92,484.05,474.20,468.99,450.98,440.62,442.18,442.27
37.25,30.25,476.68,480.01,485.02,484.88,484.74,478.20,474.05,461.12,462.74,460.68,464.50,466.77,447.13,430.63,426.11,416.87,412.03,395.25,385.86,387.42,387.62
37.25,30.75,688.01,691.08,695.87,695.69,695.63,689.39,685.60,673.40,676.80,676.69,681.89,684.90,665.38,648.25,642.55,631.58,626.06,608.91,598.97,600.14,599.93
37.25,31.25,653.55,656.36,660.93,660.71,660.72,654.79,651.36,639.55,641.99,640.84,645.59,648.96,629.94,613.48,608.98,599.58,594.30,576.79,566.28,567.07,566.46
37.25,31.75,645.23,647.77,652.12,651.86,651.95,646.31,643.26,632.01,634.86,634.16,638.95,642.03,623.83,608.14,603.65,594.17,588.66,570.80,559.73,560.13,559.11
37.25,32.25,599.03,601.31,605.44,605.14,605.31,599.97,597.28,586.59,589.85,589.81,595.79,599.63,581.72,565.79,560.79,550.89,545.16,526.94,515.30,515.32,513.90
37.25,32.75,479.74,481.76,485.66,485.33,485.58,480.53,478.56,469.54,475.05,476.59,482.85,486.85,469.93,454.55,449.24,438.16,430.13,410.97,398.41,397.42,395.59
